Tree Number,Survey date,Location,Rep,Plot,Subplot,Treat,Tree cover (%),Cover,Tree #,Year planted,Genotype,Staple flag,Plastic marker,Staple paint,Species,Basal diam (mm),Height (cm),Crown diameter1 (cm),Crown diameter2 (cm) ,Avg crown diam (cm),Condition,Damage & notes,,,,
39,2021-AUG-08,Alex Fraser,1,ICH1,2H,30Ret,40,partial,1,2020,Lodgepole pine,blue & green,,,Pl,4.9,18,8,9,8.5,P,"drought, browsed top",,,,
40,2021-AUG-08,Alex Fraser,1,ICH1,2H,30Ret,40,partial,5,2020,Ponderosa pine,pink & green,,,Py,4.7,22,14,12,13,M,drought,,,,
41,2021-AUG-08,Alex Fraser,1,ICH1,2I,30Ret,0,partial,no trees/ not planted,2020,,,,,,,,,,,,,,,,
42,2021-AUG-08,Alex Fraser,1,ICH1,3A,30Ret,40,partial,no trees,2020,,,,,,,,,,,,,,,,
43,2021-AUG-08,Alex Fraser,1,ICH1,3B,30Ret,50,under canopy,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
44,2021-AUG-08,Alex Fraser,1,ICH1,3B,30Ret,50,under canopy,3,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
45,2021-AUG-08,Alex Fraser,1,ICH1,3B,30Ret,50,under canopy,2,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
46,2021-AUG-08,Alex Fraser,1,ICH1,3B,30Ret,50,under canopy,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
47,2021-AUG-08,Alex Fraser,1,ICH1,3C,30Ret,20,under canopy,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.3,17,7,5,6,M,"browsed lateral, dead top",,,,
48,2021-AUG-08,Alex Fraser,1,ICH1,3C,30Ret,20,under canopy,2,2020,Larch,green,,,Lw,,,,,,D,,,,,
49,2021-AUG-08,Alex Fraser,1,ICH1,3D,30Ret,30,partial,1,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
50,2021-AUG-08,Alex Fraser,1,ICH1,3D,30Ret,30,partial,3,2020,Lodgepole pine,blue & green,,,Pl,5.9,33.5,9,8,8.5,M,drought,,,,
51,2021-AUG-08,Alex Fraser,1,ICH1,3D,30Ret,30,partial,2,2020,Ponderosa pine,pink & green,,,Py,4.5,20,9,10,9.5,G,,,,,
52,2021-AUG-08,Alex Fraser,1,ICH1,3E,30Ret,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,4.1,23,17,15,16,G,,,,,
53,2021-AUG-08,Alex Fraser,1,ICH1,3E,30Ret,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
54,2021-AUG-08,Alex Fraser,1,ICH1,3E,30Ret,0,open,3,2020,Venables B class Fd,white & red stripe,,,Fd,6.1,41,12,17,14.5,G,,,,,
55,2021-AUG-08,Alex Fraser,1,ICH1,3F,30Ret,0,open,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
56,2021-AUG-08,Alex Fraser,1,ICH1,3F,30Ret,0,open,6,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
57,2021-AUG-08,Alex Fraser,1,ICH1,3F,30Ret,0,open,4,2020,Larch,green,,,Lw,,,,,,D,,,,,
58,2021-AUG-08,Alex Fraser,1,ICH1,3F,30Ret,0,open,5,2020,Lodgepole pine,blue & green,,,Pl,6.9,34,23,22,22.5,G,,,,,
59,2021-AUG-08,Alex Fraser,1,ICH1,3F,30Ret,0,open,3,2020,Ponderosa pine,pink & green,,,Py,5.1,20,10,11,10.5,G,,,,,
60,2021-AUG-08,Alex Fraser,1,ICH1,3F,30Ret,0,open,2,2020,Venables future Fd,pink & orange,,,Fd,4,24,12,20,16,G,veg,,,,
61,2021-AUG-08,Alex Fraser,1,ICH1,3G,30Ret,0,open,5,2020,Alex Fraser future Fd,pink & blue,,,Fd       ,,,,,,D,,,,,
62,2021-AUG-08,Alex Fraser,1,ICH1,3G,30Ret,0,open,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
63,2021-AUG-08,Alex Fraser,1,ICH1,3G,30Ret,0,open,2,2020,Larch,green,,,Lw,,,,,,D,,,,,
64,2021-AUG-08,Alex Fraser,1,ICH1,3G,30Ret,0,open,3,2020,Lodgepole pine,blue & green,,,Pl,2.8,20.5,5,4,4.5,P,"moldy at base, in red rot",,,,
65,2021-AUG-08,Alex Fraser,1,ICH1,3G,30Ret,0,open,4,2020,Venables future Fd,pink & orange,,,Fd,,,,,,D,,,,,
66,2021-AUG-08,Alex Fraser,1,ICH1,3I,30Ret,0,partial,1,2020,Ponderosa pine,pink & green,,,Py,3,11,8,7,7.5,N,"browsed top, veg",,,,
67,2021-AUG-08,Alex Fraser,1,ICH1,4A,30Ret,20,partial,2,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
68,2021-AUG-08,Alex Fraser,1,ICH1,4A,30Ret,20,partial,5,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.4,20.5,14,12,13,G,,,,,
69,2021-AUG-08,Alex Fraser,1,ICH1,4A,30Ret,20,partial,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
70,2021-AUG-08,Alex Fraser,1,ICH1,4A,30Ret,20,partial,4,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
