Tree Number,Survey date,Location,Rep,Plot,Subplot,Treat,Tree cover (%),Cover,Tree #,Year planted,Genotype,Staple flag,Plastic marker,Staple paint,Species,Basal diam (mm),Height (cm),Crown diameter1 (cm),Crown diameter2 (cm) ,Avg crown diam (cm),Condition,Damage & notes,,,,
1015,2021-AUG-09,Alex Fraser,1,ICH5,8G,60Ret,40,partial,1,2020,Peterhope B class Fd,pink,,,Fd,3.6,13,11,3,7,M,browsed top,,,,
1016,2021-AUG-09,Alex Fraser,1,ICH5,8G,60Ret,40,partial,3,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1017,2021-AUG-09,Alex Fraser,1,ICH5,8G,60Ret,40,partial,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.8,25,13,7,10,G,browsed top,,,,
1018,2021-AUG-09,Alex Fraser,1,ICH5,8H,60Ret,10,partial,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,4.3,29,15,13,14,G,,,,,
1019,2021-AUG-09,Alex Fraser,1,ICH5,8H,60Ret,10,partial,3,2020,Alex Fraser A class Fd,blue & orange,,,Fd,3.9,21,16,13,14.5,G,browsed top,,,,
1020,2021-AUG-09,Alex Fraser,1,ICH5,8H,60Ret,10,partial,4,2020,John Prince B class Fd,pink polka,,,Fd,3.1,24,12,9,10.5,G,,,,,
1021,2021-AUG-09,Alex Fraser,1,ICH5,8H,60Ret,10,partial,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.7,21,15,14,14.5,G,,,,,
1022,2021-AUG-09,Alex Fraser,1,ICH5,8I,60Ret,45,partial,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
1023,2021-AUG-09,Alex Fraser,1,ICH5,8I,60Ret,45,partial,3,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1024,2021-AUG-09,Alex Fraser,1,ICH5,8I,60Ret,45,partial,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1025,2021-AUG-09,Alex Fraser,1,ICH5,9A,60Ret,40,partial,no trees,2020,,,,,,,,,,,,,,,,
1026,2021-AUG-09,Alex Fraser,1,ICH5,9B,60Ret,30,partial,no trees,2020,,,,,,,,,,,,,,,,
1027,2021-AUG-09,Alex Fraser,1,ICH5,9C,60Ret,60,partial,no trees,2020,,,,,,,,,,,,,,,,
1028,2021-AUG-09,Alex Fraser,1,ICH5,9D,60Ret,30,partial,no trees,2020,,,,,,,,,,,,,,,,
1029,2021-AUG-09,Alex Fraser,1,ICH5,9E,60Ret,30,partial,no trees,2020,,,,,,,,,,,,,,,,
1030,2021-AUG-09,Alex Fraser,1,ICH5,9F,60Ret,20,partial,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,2.7,19,5,5,5,M,"drought, frost, veg",,,,
1031,2021-AUG-09,Alex Fraser,1,ICH5,9G,60Ret,30,partial,no trees,2020,,,,,,,,,,,,,,,,
1032,2021-AUG-09,Alex Fraser,1,ICH5,9H,60Ret,15,partial,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.4,27,26,19,22.5,G,,,,,
1033,2021-AUG-09,Alex Fraser,1,ICH5,9H,60Ret,15,partial,2,2020,Jaffray B class Fd,blue,,,Fd,1.7,11,5,5,5,P,"browsed top, veg",,,,
1034,2021-AUG-09,Alex Fraser,1,ICH5,9H,60Ret,15,partial,1,2020,Peterhope B class Fd,pink,,,Fd,2.2,28,4,12,8,M,browsed top,,,,
1035,2021-AUG-09,Alex Fraser,1,ICH5,9H,60Ret,15,partial,3,2020,Redfish B class Fd,white & blue stripe,,,Fd,1.8,15,5,5,5,N,"drought, frost, browsed top",,,,
1036,2021-AUG-09,Alex Fraser,1,ICH5,9I,60Ret,60,partial,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1037,2021-AUG-09,Alex Fraser,1,ICH5,9I,60Ret,60,partial,2,2020,Ponderosa pine,pink & green,,,Py,4.2,22.5,14,15,14.5,G,,,,,
1038,2021-AUG-09,Alex Fraser,1,ICH5,9I,60Ret,60,partial,3,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.3,28,13,10,11.5,M,"browsed top, frost",,,,
1039,2021-SEP-18,Alex Fraser,2,IDF2,1A,30Ret,25,partial,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
1040,2021-SEP-18,Alex Fraser,2,IDF2,1A,30Ret,25,partial,2,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
1041,2021-SEP-18,Alex Fraser,2,IDF2,1A,30Ret,25,partial,3,2020,Lodgepole pine,blue & green,,,Pl,3.8,15.5,9,12,10.5,M,drought,,,,
1042,2021-SEP-18,Alex Fraser,2,IDF2,1B,30Ret,45,under canopy,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1043,2021-SEP-18,Alex Fraser,2,IDF2,1B,30Ret,45,under canopy,2,2020,John Prince B class Fd,pink polka,,,Fd,3.6,12,14,15,14.5,G,,,,,
1044,2021-SEP-18,Alex Fraser,2,IDF2,1B,30Ret,45,under canopy,3,2020,Lodgepole pine,blue & green,,,Pl,4,25,5,6,5.5,M,needles on top 3 cm only,,,,
1045,2021-SEP-18,Alex Fraser,2,IDF2,1C,30Ret,10,partial,2,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
1046,2021-SEP-18,Alex Fraser,2,IDF2,1C,30Ret,10,partial,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1047,2021-SEP-18,Alex Fraser,2,IDF2,1C,30Ret,10,partial,5,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
1048,2021-SEP-18,Alex Fraser,2,IDF2,1C,30Ret,10,partial,3,2020,Lodgepole pine,blue & green,,,Pl,4.4,22,11,12,11.5,M,"drought, frost",,,,
1049,2021-SEP-18,Alex Fraser,2,IDF2,1C,30Ret,10,partial,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,2.9,11.5,5,4,4.5,P,"browsed top, frost",,,,
1050,2021-SEP-18,Alex Fraser,2,IDF2,1D,30Ret,0,open,no trees,2020,,,,,,,,,,,,,,,,
1051,2021-SEP-18,Alex Fraser,2,IDF2,1E,30Ret,0,open,3,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
1052,2021-SEP-18,Alex Fraser,2,IDF2,1E,30Ret,0,open,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
1053,2021-SEP-18,Alex Fraser,2,IDF2,1E,30Ret,0,open,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1054,2021-SEP-18,Alex Fraser,2,IDF2,1E,30Ret,0,open,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,4.6,19,14,9,11.5,P,drought,,,,
1055,2021-SEP-18,Alex Fraser,2,IDF2,1F,30Ret,0,open,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
1056,2021-SEP-18,Alex Fraser,2,IDF2,1F,30Ret,0,open,4,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
1057,2021-SEP-18,Alex Fraser,2,IDF2,1F,30Ret,0,open,2,2020,Lodgepole pine,blue & green,,,Pl,8.2,49,18,14,16,G,,,,,
1058,2021-SEP-18,Alex Fraser,2,IDF2,1F,30Ret,0,open,3,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1059,2021-SEP-18,Alex Fraser,2,IDF2,1G,30Ret,0,open,no trees,2020,,,,,,,,,,,,,,,,
1060,2021-SEP-18,Alex Fraser,2,IDF2,1H,30Ret,0,open,no trees,2020,,,,,,,,,,,,,,,,
1061,2021-SEP-18,Alex Fraser,2,IDF2,2A,30Ret,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
1062,2021-SEP-18,Alex Fraser,2,IDF2,2A,30Ret,0,open,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1063,2021-SEP-18,Alex Fraser,2,IDF2,2B,30Ret,45,under canopy,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,3.2,33,12,10,11,G,slash,,,,
1064,2021-SEP-18,Alex Fraser,2,IDF2,2B,30Ret,45,under canopy,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1065,2021-SEP-18,Alex Fraser,2,IDF2,2B,30Ret,45,under canopy,3,2020,Lodgepole pine,blue & green,,,Pl,3.2,16,10,9,9.5,M,drought,,,,
1066,2021-SEP-18,Alex Fraser,2,IDF2,2C,30Ret,45,under canopy,6,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,2.4,18,11,7,9,M,"browsed top, frost",,,,
1067,2021-SEP-18,Alex Fraser,2,IDF2,2C,30Ret,45,under canopy,4,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1068,2021-SEP-18,Alex Fraser,2,IDF2,2C,30Ret,45,under canopy,5,2020,Peterhope B class Fd,pink,,,Fd,2.5,17,15,8,11.5,M,"browsed top, frost",,,,
1069,2021-SEP-18,Alex Fraser,2,IDF2,2C,30Ret,45,under canopy,2,2020,Lodgepole pine,blue & green,,,Pl,4.6,29,11,9,10,G,frost,,,,
1070,2021-SEP-18,Alex Fraser,2,IDF2,2C,30Ret,45,under canopy,1,2020,Ponderosa pine,pink & green,,,Py,4.5,19,13,9,11,M,frost,,,,
1071,2021-SEP-18,Alex Fraser,2,IDF2,2C,30Ret,45,under canopy,3,2020,Ponderosa pine,pink & green,,,Py,5.2,22,10,9,9.5,G,,,,,
1072,2021-SEP-18,Alex Fraser,2,IDF2,2D,30Ret,10,open,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
1073,2021-SEP-18,Alex Fraser,2,IDF2,2D,30Ret,10,open,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,5.8,20,9,14,11.5,G,,,,,
1074,2021-SEP-18,Alex Fraser,2,IDF2,2D,30Ret,10,open,3,2020,Peterhope B class Fd,pink,,,Fd,4,26,15,9,12,G,,,,,
1075,2021-SEP-18,Alex Fraser,2,IDF2,2D,30Ret,10,open,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1076,2021-SEP-18,Alex Fraser,2,IDF2,2E,30Ret,0,open,3,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1077,2021-SEP-18,Alex Fraser,2,IDF2,2E,30Ret,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,4.8,42,12,9,10.5,G,,,,,
1078,2021-SEP-18,Alex Fraser,2,IDF2,2E,30Ret,0,open,2,2020,Ponderosa pine,pink & green,,,Py,5,18,6,7,6.5,G,,,,,
1079,2021-SEP-18,Alex Fraser,2,IDF2,2F,30Ret,0,open,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
1080,2021-SEP-18,Alex Fraser,2,IDF2,2G,30Ret,5,open,5,2020,Alex Fraser A class Fd,blue & orange,,,Fd,3.6,27,11,2,6.5,M,"browsed top, kink at base",,,,
1081,2021-SEP-18,Alex Fraser,2,IDF2,2G,30Ret,5,open,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
1082,2021-SEP-18,Alex Fraser,2,IDF2,2G,30Ret,5,open,3,2020,Alex Fraser future Fd,pink & blue,,,Fd,4.2,21,14,6,10,M,"drought, browsed top, veg",,,,
1083,2021-SEP-18,Alex Fraser,2,IDF2,2G,30Ret,5,open,6,2020,Alex Fraser future Fd,pink & blue,,,Fd,,,,,,D,,,,,
1084,2021-SEP-18,Alex Fraser,2,IDF2,2G,30Ret,5,open,4,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1085,2021-SEP-18,Alex Fraser,2,IDF2,2G,30Ret,5,open,7,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1086,2021-SEP-18,Alex Fraser,2,IDF2,2G,30Ret,5,open,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1087,2021-SEP-18,Alex Fraser,2,IDF2,2H,30Ret,0,open,2,2020,Alex Fraser A class Fd,blue & orange,,,Fd,3.9,16,7,5,6,N,"drought, browsed lateral",,,,
1088,2021-SEP-18,Alex Fraser,2,IDF2,2H,30Ret,0,open,4,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1089,2021-SEP-18,Alex Fraser,2,IDF2,2H,30Ret,0,open,5,2020,John Prince B class Fd,pink polka,,,Fd,3.6,17,14,10,12,M,"browsed top, frost",,,,
1090,2021-SEP-18,Alex Fraser,2,IDF2,2H,30Ret,0,open,1,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1091,2021-SEP-18,Alex Fraser,2,IDF2,2H,30Ret,0,open,3,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
1092,2021-SEP-18,Alex Fraser,2,IDF2,2H,30Ret,0,open,6,2020,Venables B class Fd,white & red stripe,,,Fd,3.6,10,9,4,6.5,P,browsed top & lateral,,,,
1093,2021-SEP-18,Alex Fraser,2,IDF2,3A,30Ret,0,open,1,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
1094,2021-SEP-18,Alex Fraser,2,IDF2,3A,30Ret,0,open,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,5.4,24.5,11,21,16,G,drought,,,,
1095,2021-SEP-18,Alex Fraser,2,IDF2,3B,30Ret,40,under canopy,5,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,2,15,5,6,5.5,P,drought,,,,
1096,2021-SEP-18,Alex Fraser,2,IDF2,3B,30Ret,40,under canopy,1,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
1097,2021-SEP-18,Alex Fraser,2,IDF2,3B,30Ret,40,under canopy,2,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1098,2021-SEP-18,Alex Fraser,2,IDF2,3B,30Ret,40,under canopy,4,2020,Lodgepole pine,blue & green,,,Pl,4.3,29,7,4,5.5,G,frost,,,,
1099,2021-SEP-18,Alex Fraser,2,IDF2,3B,30Ret,40,under canopy,3,2020,Ponderosa pine,pink & green,,,Py,4.9,14,10,10,10,G,frost,,,,
1100,2021-SEP-18,Alex Fraser,2,IDF2,3C,30Ret,50,under canopy,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
1101,2021-SEP-18,Alex Fraser,2,IDF2,3C,30Ret,50,under canopy,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1102,2021-SEP-18,Alex Fraser,2,IDF2,3C,30Ret,50,under canopy,4,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1103,2021-SEP-18,Alex Fraser,2,IDF2,3C,30Ret,50,under canopy,5,2020,Peterhope B class Fd,pink,,,Fd,4.6,11,16,8,12,P,"browsed top & lateral, frost",,,,
1104,2021-SEP-18,Alex Fraser,2,IDF2,3C,30Ret,50,under canopy,2,2020,Larch,green,,,Lw,,,,,,D,,,,,
1105,2021-SEP-18,Alex Fraser,2,IDF2,3D,30Ret,65,under canopy,2,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1106,2021-SEP-18,Alex Fraser,2,IDF2,3D,30Ret,65,under canopy,1,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1107,2021-SEP-18,Alex Fraser,2,IDF2,3E,30Ret,0,open,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,5.4,39,26,25,25.5,G,slash,,,,
1108,2021-SEP-18,Alex Fraser,2,IDF2,3E,30Ret,0,open,5,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1109,2021-SEP-18,Alex Fraser,2,IDF2,3E,30Ret,0,open,2,2020,Lodgepole pine,blue & green,,,Pl,4.5,37,15,7,11,G,frost,,,,
1110,2021-SEP-18,Alex Fraser,2,IDF2,3E,30Ret,0,open,6,2020,Lodgepole pine,blue & green,,,Pl,3.9,39,10,11,10.5,G,,,,,
1111,2021-SEP-18,Alex Fraser,2,IDF2,3E,30Ret,0,open,3,2020,Ponderosa pine,pink & green,,,Py,5.6,26,10,9,9.5,G,frost,,,,
1112,2021-SEP-18,Alex Fraser,2,IDF2,3E,30Ret,0,open,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,3.5,18,13,8,10.5,M,browsed top,,,,
1113,2021-SEP-18,Alex Fraser,2,IDF2,3F,30Ret,0,open,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,5.4,26,18,11,14.5,G,browsed top,,,,
1114,2021-SEP-18,Alex Fraser,2,IDF2,3F,30Ret,0,open,4,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1115,2021-SEP-18,Alex Fraser,2,IDF2,3F,30Ret,0,open,3,2020,Lodgepole pine,blue & green,,,Pl,6.2,33,17,18,17.5,G,,,,,
1116,2021-SEP-18,Alex Fraser,2,IDF2,3F,30Ret,0,open,5,2020,Ponderosa pine,pink & green,,,Py,6.2,27.5,24,17,20.5,G,,,,,
1117,2021-SEP-18,Alex Fraser,2,IDF2,3F,30Ret,0,open,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,4.1,21,12,12,12,G,,,,,
1118,2021-SEP-18,Alex Fraser,2,IDF2,3G,30Ret,5,,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1119,2021-SEP-18,Alex Fraser,2,IDF2,3G,30Ret,5,,2,2020,Lodgepole pine,blue & green,,,Pl,4.2,40,10,12,11,G,,,,,
1120,2021-SEP-18,Alex Fraser,2,IDF2,3G,30Ret,5,,3,2020,Redfish B class Fd,white & blue stripe,,,Fd,4.8,24,8,5,6.5,G,browsed top,,,,
1121,2021-SEP-18,Alex Fraser,2,IDF2,3H,30Ret,35,partial,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1122,2021-SEP-18,Alex Fraser,2,IDF2,3H,30Ret,35,partial,5,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1123,2021-SEP-18,Alex Fraser,2,IDF2,3H,30Ret,35,partial,6,2020,Lodgepole pine,blue & green,,,Pl,4.8,26,9,12,10.5,G,"drought, slash",,,,
1124,2021-SEP-18,Alex Fraser,2,IDF2,3H,30Ret,35,partial,1,2020,Ponderosa pine,pink & green,,,Py,5.1,20,11,12,11.5,P,"drought, crook",,,,
1125,2021-SEP-18,Alex Fraser,2,IDF2,3H,30Ret,35,partial,3,2020,Ponderosa pine,pink & green,,,Py,4.7,24,12,14,13,G,"drought, crook",,,,
1126,2021-SEP-18,Alex Fraser,2,IDF2,3H,30Ret,35,partial,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1127,2021-SEP-18,Alex Fraser,2,IDF2,4A,30Ret,0,open,1,2020,John Prince B class Fd,pink polka,,,Fd,5,30,19,22,20.5,G,,,,,
1128,2021-SEP-18,Alex Fraser,2,IDF2,4B,30Ret,25,partial,1,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
1129,2021-SEP-18,Alex Fraser,2,IDF2,4B,30Ret,25,partial,4,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1130,2021-SEP-18,Alex Fraser,2,IDF2,4B,30Ret,25,partial,3,2020,Ponderosa pine,pink & green,,,Py,4.5,19,6,7,6.5,M,browsed lateral,,,,
1131,2021-SEP-18,Alex Fraser,2,IDF2,4B,30Ret,25,partial,2,2020,Venables future Fd,pink & orange,,,Fd,,,,,,D,,,,,
1132,2021-SEP-18,Alex Fraser,2,IDF2,4C,30Ret,60,under canopy,5,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
1133,2021-SEP-18,Alex Fraser,2,IDF2,4C,30Ret,60,under canopy,2,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1134,2021-SEP-18,Alex Fraser,2,IDF2,4C,30Ret,60,under canopy,1,2020,Lodgepole pine,blue & green,,,Pl,4.5,30,13,12,12.5,G,frost,,,,
1135,2021-SEP-18,Alex Fraser,2,IDF2,4C,30Ret,60,under canopy,3,2020,Lodgepole pine,blue & green,,,Pl,3.4,23,12,9,10.5,M,frost,,,,
1136,2021-SEP-18,Alex Fraser,2,IDF2,4C,30Ret,60,under canopy,4,2020,Ponderosa pine,pink & green,,,Py,3.7,16,7,5,6,P,"drought, frost",,,,
1137,2021-SEP-18,Alex Fraser,2,IDF2,4D,30Ret,85,under canopy,1,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.4,12,14,11,12.5,M,browsed top,,,,
1138,2021-SEP-18,Alex Fraser,2,IDF2,4D,30Ret,85,under canopy,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,1.4,14,5,3,4,P,frost,,,,
1139,2021-SEP-18,Alex Fraser,2,IDF2,4D,30Ret,85,under canopy,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1140,2021-SEP-18,Alex Fraser,2,IDF2,4E,30Ret,15,partial,3,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1141,2021-SEP-18,Alex Fraser,2,IDF2,4E,30Ret,15,partial,4,2020,Peterhope B class Fd,pink,,,Fd,4.6,10,3,4,3.5,P,browsed top & lateral,,,,
1142,2021-SEP-18,Alex Fraser,2,IDF2,4E,30Ret,15,partial,1,2020,Lodgepole pine,blue & green,,,Pl,5.5,42,12,13,12.5,G,,,,,
1143,2021-SEP-18,Alex Fraser,2,IDF2,4E,30Ret,15,partial,2,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1144,2021-SEP-18,Alex Fraser,2,IDF2,4F,30Ret,0,open,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,4,21,16,19,17.5,G,,,,,
1145,2021-SEP-18,Alex Fraser,2,IDF2,4F,30Ret,0,open,1,2020,Lodgepole pine,blue & green,,,Pl,,,,,,D,,,,,
1146,2021-SEP-18,Alex Fraser,2,IDF2,4F,30Ret,0,open,3,2020,Ponderosa pine,pink & green,,,Py,3.9,23,11,11,11,G,crook,,,,
1147,2021-SEP-18,Alex Fraser,2,IDF2,4F,30Ret,0,open,5,2020,Ponderosa pine,pink & green,,,Py,4.7,19,13,12,12.5,,crook,,,,
1148,2021-SEP-18,Alex Fraser,2,IDF2,4F,30Ret,0,open,4,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1149,2021-SEP-18,Alex Fraser,2,IDF2,4G,30Ret,15,partial,2,2020,Alex Fraser future Fd,pink & blue,,,Fd,2.6,13,10,8,9,M,"frost, veg",,,,
1150,2021-SEP-18,Alex Fraser,2,IDF2,4G,30Ret,15,partial,1,2020,Lodgepole pine,blue & green,,,Pl,5.6,26,16,10,13,G,fork,,,,
1151,2021-SEP-18,Alex Fraser,2,IDF2,4G,30Ret,15,partial,4,2020,Ponderosa pine,pink & green,,,Py,5,30,12,11,11.5,G,frost,,,,
1152,2021-SEP-18,Alex Fraser,2,IDF2,4G,30Ret,15,partial,3,2020,Venables future Fd,pink & orange,,,Fd,5.2,18,10,5,7.5,M,"browsed top, frost",,,,
1153,2021-SEP-18,Alex Fraser,2,IDF2,4H,30Ret,5,partial,2,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
1154,2021-SEP-18,Alex Fraser,2,IDF2,4H,30Ret,5,partial,3,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
1155,2021-SEP-18,Alex Fraser,2,IDF2,4H,30Ret,5,partial,4,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,,,,,,D,,,,,
1156,2021-SEP-18,Alex Fraser,2,IDF2,4H,30Ret,5,partial,1,2020,Ponderosa pine,pink & green,,,Py,,,,,,D,,,,,
1157,2021-SEP-18,Alex Fraser,2,IDF2,5A,30Ret,0,open,1,2020,Alex Fraser future Fd,pink & blue,,,Fd,4.6,25,13,7,10,G,veg,,,,
1158,2021-SEP-18,Alex Fraser,2,IDF2,5A,30Ret,0,open,2,2020,John Prince B class Fd,pink polka,,,Fd,5.2,27,14,12,13,G,,,,,
1159,2021-SEP-18,Alex Fraser,2,IDF2,5B,30Ret,5,partial,2,2020,Alex Fraser A class Fd,blue & orange,,,Fd,,,,,,D,,,,,
1160,2021-SEP-18,Alex Fraser,2,IDF2,5B,30Ret,5,partial,4,2020,Alex Fraser A class Fd,blue & orange,,,Fd,3.7,19,8,14,11,M,"drought, chlorotic",,,,
1161,2021-SEP-18,Alex Fraser,2,IDF2,5B,30Ret,5,partial,7,2020,Alex Fraser B class Fd,orange & black stripe,,,Fd,3.3,24,7,9,8,P,frost,,,,
1162,2021-SEP-18,Alex Fraser,2,IDF2,5B,30Ret,5,partial,3,2020,John Prince B class Fd,pink polka,,,Fd,,,,,,D,,,,,
1163,2021-SEP-18,Alex Fraser,2,IDF2,5B,30Ret,5,partial,1,2020,Lodgepole pine,blue & green,,,Pl,4.2,29,10,6,8,P,"frost, chorotic",,,,
1164,2021-SEP-18,Alex Fraser,2,IDF2,5B,30Ret,5,partial,5,2020,Ponderosa pine,pink & green,,,Py,4.8,10,4,3,3.5,P,"drought, browsed top",,,,
1165,2021-SEP-18,Alex Fraser,2,IDF2,5B,30Ret,5,partial,6,2020,Redfish B class Fd,white & blue stripe,,,Fd,,,,,,D,,,,,
1166,2021-SEP-18,Alex Fraser,2,IDF2,5C,30Ret,45,partial,1,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1167,2021-SEP-18,Alex Fraser,2,IDF2,5C,30Ret,45,partial,2,2020,Jaffray B class Fd,blue,,,Fd,,,,,,D,,,,,
1168,2021-SEP-18,Alex Fraser,2,IDF2,5C,30Ret,45,partial,5,2020,Jaffray B class Fd,blue,,,,,,,,,D,,,,,
1169,2021-SEP-18,Alex Fraser,2,IDF2,5C,30Ret,45,partial,3,2020,John Prince B class Fd,pink polka,,,Fd,3.6,15,13,12,12.5,M,"drought, browsed top & lateral",,,,
1170,2021-SEP-18,Alex Fraser,2,IDF2,5C,30Ret,45,partial,4,2020,Ponderosa pine,pink & green,,,Py,3.4,12,11,10,10.5,P,"drought, frost, crook",,,,
1171,2021-SEP-18,Alex Fraser,2,IDF2,5C,30Ret,45,partial,6,2020,Ponderosa pine,pink & green,,,Py,5.3,18,16,13,14.5,M,"frost, crook",,,,
1172,2021-SEP-18,Alex Fraser,2,IDF2,5D,30Ret,70,under canopy,2,2020,John Prince B class Fd,pink polka,,,Fd,3.4,25,12,9,10.5,G,planting quality,,,,
1173,2021-SEP-18,Alex Fraser,2,IDF2,5D,30Ret,70,under canopy,1,2020,Lodgepole pine,blue & green,,,Pl,4.6,32,7,5,6,G,frost,,,,
1174,2021-SEP-18,Alex Fraser,2,IDF2,5D,30Ret,70,under canopy,3,2020,Venables future Fd,pink & orange,,,Fd,3,18,7,3,5,P,browsed top & lateral,,,,
1175,2021-SEP-18,Alex Fraser,2,IDF2,5E,30Ret,20,partial,3,2020,Alex Fraser future Fd,pink & blue,,,Fd,3.8,26,9,6,7.5,G,,,,,
1176,2021-SEP-18,Alex Fraser,2,IDF2,5E,30Ret,20,partial,2,2020,Peterhope B class Fd,pink,,,Fd,,,,,,D,,,,,
1177,2021-SEP-18,Alex Fraser,2,IDF2,5E,30Ret,20,partial,4,2020,Lodgepole pine,blue & green,,,Pl,3.5,13,5,3,4,P,"drought, browsed top, frost",,,,
1178,2021-SEP-18,Alex Fraser,2,IDF2,5E,30Ret,20,partial,1,2020,Ponderosa pine,pink & green,,,Py,4,19,10,12,11,G,frost,,,,
